Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-01,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-01', 'Price': 12.99}"
2023-03-02,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-02', 'Price': 12.99}"
2023-03-03,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-03', 'Price': 12.99}"
2023-03-04,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-04', 'Price': 12.99}"
2023-03-05,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-05', 'Price': 12.99}"
2023-03-06,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-06', 'Price': 12.99}"
2023-03-07,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-07', 'Price': 12.99}"
2023-03-08,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-08', 'Price': 12.99}"
2023-03-09,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-09', 'Price': 12.99}"
2023-03-10,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-10', 'Price': 12.99}"
2023-03-11,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-11', 'Price': 12.99}"
2023-03-12,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-12', 'Price': 12.99}"
2023-03-13,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-13', 'Price': 12.99}"
2023-03-14,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-14', 'Price': 12.99}"
2023-03-15,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-15', 'Price': 12.99}"
2023-03-16,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-16', 'Price': 12.99}"
2023-03-17,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-17', 'Price': 12.99}"
2023-03-18,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-18', 'Price': 12.99}"
2023-03-19,12.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-19', 'Price': 12.99}"
